CN,STATECD,SUBP,SUBPTYP,PLT_CN,CONDID,PREV_PLT_CN,PREVCOND,SUBPTYP_PROP_CHNG,CREATED_DATE,MODIFIED_DATE
1815776932290487,44,1,2,511305837126144,1,14527774020004,1,1.0,2025-03-20 07:06:45,
1815776933290487,44,2,2,511305837126144,1,14527774020004,1,1.0,2025-03-20 07:06:45,
1815776934290487,44,3,2,511305837126144,1,14527774020004,1,1.0,2025-03-20 07:06:45,
1815776935290487,44,4,2,511305837126144,1,14527774020004,1,1.0,2025-03-20 07:06:45,
1815779750290487,44,1,1,602592919126144,1,14527750020004,1,1.0,2025-03-20 07:07:55,
1815779751290487,44,2,1,602592919126144,1,14527750020004,1,1.0,2025-03-20 07:07:55,
1815779752290487,44,3,1,602592919126144,1,14527750020004,1,1.0,2025-03-20 07:07:55,
1815779753290487,44,4,1,602592919126144,1,14527750020004,1,1.0,2025-03-20 07:07:55,
1815779754290487,44,1,2,602592919126144,1,14527750020004,1,1.0,2025-03-20 07:07:55,
1815779755290487,44,2,2,602592919126144,1,14527750020004,1,1.0,2025-03-20 07:07:55,
1815779756290487,44,3,2,602592919126144,1,14527750020004,1,1.0,2025-03-20 07:07:55,
1815779757290487,44,4,2,602592919126144,1,14527750020004,1,1.0,2025-03-20 07:07:55,
1815779794290487,44,1,1,602592920126144,1,14527751020004,1,1.0,2025-03-20 07:08:00,
1815779795290487,44,2,1,602592920126144,1,14527751020004,1,1.0,2025-03-20 07:08:00,
1815779796290487,44,3,1,602592920126144,1,14527751020004,1,1.0,2025-03-20 07:08:00,
1815779797290487,44,4,1,602592920126144,1,14527751020004,1,1.0,2025-03-20 07:08:00,
1815779798290487,44,1,2,602592920126144,1,14527751020004,1,1.0,2025-03-20 07:08:00,
1815779799290487,44,2,2,602592920126144,1,14527751020004,1,1.0,2025-03-20 07:08:00,
1815779800290487,44,3,2,602592920126144,1,14527751020004,1,1.0,2025-03-20 07:08:00,
1815779801290487,44,4,2,602592920126144,1,14527751020004,1,1.0,2025-03-20 07:08:00,
1815779802290487,44,1,1,602592921126144,1,14527752020004,1,1.0,2025-03-20 07:08:00,
1815779803290487,44,2,1,602592921126144,1,14527752020004,1,1.0,2025-03-20 07:08:00,
1815772013290487,44,2,2,374009840489998,1,221354538010661,1,1.0,2025-03-20 07:03:19,
1815772014290487,44,3,2,374009840489998,1,221354538010661,1,1.0,2025-03-20 07:03:19,
1815772015290487,44,4,2,374009840489998,1,221354538010661,1,1.0,2025-03-20 07:03:19,
